,Open,High,Low,Close,Adj Close,Volume,Openrolling_mean_3,Openrolling_mean_5,Highrolling_mean_3,Highrolling_mean_5,Lowrolling_mean_3,Lowrolling_mean_5,Openrolling_stnd_3,Openrolling_stnd_5,Highrolling_stnd_3,Highrolling_stnd_5,Lowrolling_stnd_3,Lowrolling_stnd_5,compound,negative,positive,neutral
2007-11-15,5942.700195,5966.950195,5895.649902,5912.100098,5912.100098,0.0,5753.000162666667,5739.7800781999995,5892.000162666667,5823.4800782,5729.099935000001,5662.309961,170.54976148634256,128.96708132004176,115.61507434391807,131.50113158013875,154.09251561277844,154.32801324424193,-0.9935,0.109,0.08,0.811
2007-11-16,5913.149902,5948.049805,5817.399902,5906.850098,5906.850098,0.0,5853.266764,5766.5500976,5955.066731666667,5856.9300782,5804.366536333334,5696.4399414,130.15330686363615,151.19701515039498,10.347394352225065,138.98892855370462,98.44923032739025,168.26693249878284,-0.9821,0.086,0.054,0.86
2007-11-19,5908.049805,5981.799805,5893.799805,5907.649902,5907.649902,0.0,5921.2999673333325,5816.040039,5965.599934999999,5921.1700196,5868.949869666667,5779.6999024,18.707753886703482,148.31776936844284,16.915467080370103,91.76713223211128,44.65316438457322,131.9186819422929,-0.9847,0.095,0.08,0.825
2007-11-20,5911.25,5923.700195,5755.799805,5780.899902,5780.899902,0.0,5910.816569,5875.8200194,5951.183268333333,5954.140039,5822.333170666666,5812.539843799999,2.5775267545581904,97.08212653166034,29.176276576706016,21.8423909838499,69.132140533948,85.74311060691913,-0.9994,0.163,0.097,0.741
2007-11-21,5778.799805,5790.049805,5530.850098,5561.049805,5561.049805,0.0,5866.0332033333325,5890.7899414,5898.516601666666,5922.109961,5726.816569333333,5778.699902400001,75.56328242334696,64.13452620691488,98.32433907675504,76.9558529540898,183.20246563605647,150.31377178760704,-0.9992,0.134,0.06,0.806
2007-11-22,5564.649902,5608.649902,5394.350098,5519.350098,5519.350098,0.0,5751.566569,5815.1798828,5774.133300666667,5850.4499024,5560.3333336666665,5678.4399416,174.8975238265851,151.27887812801444,158.1270789981539,153.50859522018467,182.51963883820707,208.66485748315253,-0.9988,0.136,0.079,0.785
2007-11-23,5524.299805,5638.600098,5514.75,5608.600098,5608.600098,0.0,5622.583170666666,5737.409863399999,5679.099934999999,5788.559961,5479.983398666667,5617.9099612,136.78362553243744,184.60323079661106,97.24535361584003,166.17936817653552,74.59624605972976,202.07005267009336,-0.9984,0.133,0.091,0.776
2007-11-26,5611.299805,5772.549805,5608.950195,5731.700195,5731.700195,0.0,5566.749837333334,5678.0598634,5673.266601666667,5746.7099610000005,5506.016764333333,5560.9400392,43.53799830375924,162.39385451933535,87.27611018029565,127.10222747478764,107.56627009434807,133.2914440045922,-0.9982,0.138,0.11,0.753
2007-11-27,5729.25,5743.549805,5655.600098,5698.149902,5698.149902,0.0,5621.6165366666655,5641.659863399999,5718.233236,5710.679883,5593.100097666666,5540.9000978,102.86385089933769,108.51848485418103,70.47217536583186,81.87416559475554,71.75030812310648,100.0607794382106,-0.9978,0.121,0.088,0.791
2007-11-28,5699.549805,5749.950195,5595.5,5617.549805,5617.549805,0.0,5680.033203333333,5625.8098634,5755.349935000001,5702.659961,5620.016764333333,5553.830078200001,61.34929038376329,87.16767674515125,15.235415781913234,73.71311469001078,31.541356383498876,102.58272659867826,-0.9993,0.158,0.102,0.74
2007-11-29,5617.799805,5725.0,5612.100098,5634.600098,5634.600098,0.0,5682.1998699999995,5636.4398439999995,5739.5,5725.9299806,5621.066731999999,5597.3800782,57.715263793540736,80.85705472611639,12.958732501105832,51.691900230178724,31.037168667120113,51.40861262613791,-0.9828,0.112,0.099,0.789
2007-11-30,5633.899902,5782.549805,5632.649902,5762.75,5762.75,0.0,5650.416504,5658.3598634,5752.5,5754.719922,5613.416666666667,5620.9600586,43.305475764792696,52.867948470430726,28.859506978378832,23.039111792270305,18.60991186019638,23.492206568351936,-0.9978,0.109,0.066,0.825
2007-12-03,5765.450195,5878.799805,5754.600098,5865.0,5865.0,0.0,5672.383300666667,5689.1899414,5795.4498699999995,5775.969922,5666.4500326666675,5650.0900392,80.99931108649392,62.61250150737533,77.70716673679077,61.12140137915488,77.02856044880069,62.61026181098781,-0.919,0.087,0.081,0.832
2007-12-04,5870.200195,5897.25,5840.299805,5858.350098,5858.350098,0.0,5756.516764,5717.3799804,5852.8665366666655,5806.709961,5742.516601666666,5687.029980599999,118.40317461977513,103.5227191239168,61.59086367386275,77.2598637246276,104.3509880964615,106.07400416772262,-0.9985,0.141,0.09,0.769
2007-12-05,5861.899902,5949.299805,5859.950195,5940.0,5940.0,0.0,5832.516764,5749.8499998,5908.44987,5846.579882999999,5818.283366,5739.9200196,58.22943606150759,120.58647859993525,36.56009184901685,90.88245890315108,56.01966997547059,114.61201890846192,-0.9975,0.139,0.103,0.758
2007-12-06,5941.049805,6027.049805,5919.799805,5954.700195,5954.700195,0.0,5891.049967333333,5814.4999998,5957.8665366666655,5906.989844000001,5873.349934999999,5801.459961,43.49955794013687,118.72909747228074,65.32257659562701,90.24881329055984,41.40926555801021,111.3851902333043,-0.9962,0.121,0.091,0.788
2007-12-07,5963.600098,6042.100098,5894.799805,5974.299805,5974.299805,0.0,5922.183268333333,5880.440038999999,6006.149902666667,5958.8999026,5891.516601666667,5853.8899416,53.41059933151677,77.87874301714336,49.80540164855556,73.95197717398058,30.059582871145487,63.43819540114766,-0.9844,0.08,0.053,0.867
2007-12-10,5974.0,6015.299805,5923.350098,5960.600098,5960.600098,0.0,5959.549967666666,5922.15,6028.149902666667,5986.199902599999,5912.649902666667,5887.6399416,16.844331521866913,52.66068814065757,13.433971392474584,61.06155309800945,15.560226063010642,36.635182297952696,-0.9981,0.138,0.075,0.787
2007-12-11,5960.399902,6111.200195,5960.399902,6097.25,6097.25,0.0,5966.0,5940.1899414,6056.200032666667,6028.9899416,5926.183268333334,5911.659961,7.11057758595755,45.3587578001336,49.48057516577909,58.03469610154195,32.891690777597255,37.204378009308364,-0.9304,0.095,0.079,0.826
2007-12-12,6067.049805,6175.649902,6005.450195,6159.299805,6159.299805,0.0,6000.483235666667,5981.219921999999,6100.716634,6074.259961000001,5963.066731666667,5940.759961,58.04801272227828,49.438006179101826,80.68746612952181,67.7935406901262,41.11496646246086,43.085151346601585,-0.9927,0.117,0.08,0.802
2007-12-13,6159.25,6185.399902,6040.399902,6058.100098,6058.100098,0.0,6062.233235666667,6024.859961,6157.4166663333335,6105.929980399999,6002.083333,5964.8799804,99.51251114184485,87.08511809308216,40.32043268459642,76.63581677188081,40.106131947610436,59.17185583090902,-0.9992,0.151,0.078,0.772
2007-12-14,6056.200195,6078.549805,6015.049805,6047.700195,6047.700195,0.0,6094.166666666667,6043.379980399999,6146.533202999999,6113.2199218,6020.299967333333,5988.9299804,56.624276751386894,80.38929504706823,59.07683495004078,70.53704264220525,18.056679048074418,46.68779794067018,-0.9986,0.136,0.081,0.783
2007-12-17,6037.950195,6039.950195,5740.600098,5777.0,5777.0,0.0,6084.4667966666675,6056.1700194,6101.299967333333,6118.1499998,5932.016601666666,5952.379980399999,65.40383207880284,71.1472600205665,75.34641153522837,62.370812053042144,166.2554217505674,121.86724223862979,-0.9988,0.136,0.072,0.792
2007-12-18,5777.600098,5874.600098,5710.600098,5742.299805,5742.299805,0.0,5957.250162666667,6019.6100586,5997.700032666667,6070.8299804,5822.0833336666665,5902.4200196,155.84888490473384,143.17285225143178,108.34056446796168,126.12771947967273,167.7857094455048,162.264986132711,-0.9982,0.135,0.083,0.782
2007-12-19,5730.25,5840.799805,5676.700195,5751.149902,5751.149902,0.0,5848.600097666666,5952.250097599999,5918.450032666667,6003.859961,5709.300130333334,5836.6700196,165.68223340254355,187.6071392112604,106.57078416239167,144.16531710393542,31.969780071268733,176.0955795676708,-0.9986,0.147,0.102,0.751
